"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"187",1201,1150,4,304,1020,957.842206079485,62.1577939205146
"188",421,1090,3,139,265,953.54363635559,-688.54363635559
"189",2154,881,5,314,750,931.204787817125,-181.204787817125
"190",544,654,2,231,775,934.611288845995,-159.611288845995
"191",2066,881,5,253,1029,928.29325803009,100.70674196991
"192",51,1082,3,102,1144,951.205277827565,192.794722172435
"193",223,1138,3,211,725,960.414288047428,-235.414288047428
"194",2003,881,5,86,949,920.322348613127,28.6776513868734
"195",1032,1150,4,116,1332,948.868966735837,383.131033264163
"196",573,654,2,231,866,934.611288845995,-68.6112888459949
"197",1555,1131,3,48,1200,952.133493541449,247.866506458551
"198",339,1090,3,120,639,952.636766421924,-313.636766421924
"199",1638,1131,3,149,1331,956.954223188834,374.045776811166
"200",1232,1150,4,60,608,946.196086931347,-338.196086931347
"201",1210,1150,4,207,1108,953.212396418135,154.787603581865
"202",2304,881,5,66,843,919.367748682951,-76.3677486829513
"203",2285,881,5,66,725,919.367748682951,-194.367748682951
"204",336,1090,3,139,633,953.54363635559,-320.54363635559
"205",1646,1131,3,10,1341,950.319753674115,390.680246325885
"206",151,1090,3,157,1250,954.402776292748,295.597223707252
"207",489,1090,3,37,835,948.675176711696,-113.675176711696
"208",68,1090,3,189,1156,955.930136181029,200.069863818971
"209",1559,1131,3,133,1201,956.190543244694,244.809456755306
"210",2164,881,5,334,840,932.1593877473,-92.1593877473004
"211",1278,1150,4,76,747,946.959766875487,-199.959766875487
"212",753,654,2,130,18,929.79055919861,-911.79055919861
"213",232,1090,3,60,752,949.772966631398,-197.772966631398
"214",1106,1150,4,285,631,956.935336145819,-325.935336145819
"215",140,1138,3,39,1216,952.204728647921,263.795271352079
"216",1375,1150,4,232,769,954.405646330854,-185.405646330854
"217",1739,1131,3,149,782,956.954223188834,-174.954223188834
"218",802,654,2,130,1122,929.79055919861,192.20944080139
"219",1071,1150,4,288,74,957.078526135345,-883.078526135345
"220",513,1090,3,2,715,947.00462683389,-232.00462683389
"221",2034,881,5,72,971,919.654128662004,51.3458713379961
"222",318,1090,3,139,573,953.54363635559,-380.54363635559
"223",171,1138,3,47,1349,952.586568619991,396.413431380009
"224",332,1090,3,139,613,953.54363635559,-340.54363635559
"225",927,1150,4,199,1164,952.830556446065,211.169443553935
